palier,nom,pays,type,gammes_couvertes,modele,conformite_ue,moq_declare,contact,verification,source
2-MarquesFR,Flora & Curl,UK,Marque,Soins cheveux bouclés,À vérifier,⚠️ UK = PAYS TIERS post-Brexit → importateur = personne responsable,NON VÉRIFIÉ,NON VÉRIFIÉ,NON VÉRIFIÉ — ne pas mettre en catalogue avant vérification,presse spécialisée
2-MarquesFR,Tropikalbliss,?,Marque,Soins cheveux texturés,À vérifier,À déterminer,NON VÉRIFIÉ,NON VÉRIFIÉ,NON VÉRIFIÉ — ne pas mettre en catalogue avant vérification,presse spécialisée
3-Meches,X-Pression / Outré,US,Marque fibre synthétique,"Mèches Kanekalon pour tresses, vanilles, locks",Synthétique 100 % Kanekalon,NON cosmétique : pas de CPNP. Traçabilité d'origine requise,NON VÉRIFIÉ,"via grossistes français (La Boutique Malik, diouda.fr)","VÉRIFIÉ comme marque. Prix PUBLICS 5,10-9,10 € (diouda.fr, non contractuels)",diouda.fr/collections/meches-xpression
3-Meches,Royal Extension,FR,Grossiste extensions,Extensions naturelles et synthétiques,Réservé aux professionnels et revendeurs,NON cosmétique : pas de CPNP,NON VÉRIFIÉ,"3 bd d'Alsace, 06400 Cannes · 04 89 68 80 63 · julien.royalextension@gmail.com",VÉRIFIÉ — SIREN 507 734 085 00016,destockplus.com
3-Meches,La Boutique Malik,FR,Grossiste multi-marques,"Soins, perruques, tissages, extensions, matériel. Se déclare distributeur officiel X-Pression",Grossiste,NON cosmétique pour mèches/matériel,NON VÉRIFIÉ,laboutiquemalik.com,DÉCLARATIF — « grossiste leader en Europe » non vérifié,laboutiquemalik.com
3-Meches,Velvety Hair,FR,Marque/grossiste cheveux naturels,"Tissages, cheveux naturels",Se déclare leader français,NON cosmétique. ⚠️ CHEVEUX HUMAINS : provenance à documenter,NON VÉRIFIÉ,Paris,DÉCLARATIF,europages.fr
3-Meches,TYPANIA' Hair Extensions,FR,Fabricant/grossiste,Extensions human hair qualité luxe pour salons,"5-9 salariés, Maxéville",NON cosmétique. ⚠️ CHEVEUX HUMAINS : provenance à documenter,NON VÉRIFIÉ,Maxéville (54),DÉCLARATIF,europages.fr
3-Meches,Liv Hair Extension,FR,Grossiste extensions,"Clips, adhésives, anneaux, tissages, kératine, lace","20-49 salariés, Lille",NON cosmétique. ⚠️ CHEVEUX HUMAINS : provenance à documenter,NON VÉRIFIÉ,Lille,DÉCLARATIF,europages.fr
3-Meches,Cindy Hair Shop,FR,Boutique détail,"Activilong, Africa Pride, As I Am, Camille Rose, Cantu, Creme of Nature","Boutique, PAS grossiste confirmé",Distributeur si stock UE,NON VÉRIFIÉ,cindyhairshop.fr,⚠️ NE PAS AFFIRMER de vente en gros — programme revendeur non vérifié,cindyhairshop.fr
4-MatieresPremieres,SENIMPEX,FR,Importateur matières premières cosmétiques,"Beurre de karité brut Burkina Faso, huiles végétales première pression à froid",Import/export. Déclare analyses en laboratoire en France,⚠️ si KURLA conditionne sous sa marque → PERSONNE RESPONSABLE. Produit fini déjà conditionné → distributeur,NON VÉRIFIÉ,"115 av. du Maréchal Foch, 76290 Montivilliers (siège transféré au Havre 01/12/2022)","VÉRIFIÉ — SIREN 881 596 084, RCS Le Havre, SASU créée 06/02/2020, capital 10 000 €, dirigeante Emily Mendy. Bio Ecocert + commerce équitable DÉCLARATIFS",europages.fr · societe.com · fr.kompass.com
4-MatieresPremieres,SOFOCOT,FR,Importateur commerce équitable,"Beurre de karité, huile d'akpi",Coopératives de femmes au Tchad,⚠️ idem SENIMPEX selon le mode d'achat,NON VÉRIFIÉ,Aix-les-Bains,DÉCLARATIF — aucune coopérative nommée ni vérifiée,europages.fr
4-MatieresPremieres,SAS KING MALAL,FR,Grossiste produits naturels,"Beurre de karité, produits alimentaires naturels bio d'Afrique","Créée 2020, Mulhouse, 5-9 salariés",⚠️ idem SENIMPEX selon le mode d'achat,NON VÉRIFIÉ,Mulhouse,"DÉCLARATIF — société repérée sur Europages, non vérifiée au registre",europages.fr
4-MatieresPremieres,ARGANisme COSMETICS,FR,Grossiste karité,"Beurre de karité bio et équitable, origine Burkina Faso","Gros et détail, 1 kg à tonnes",⚠️ idem SENIMPEX,NON VÉRIFIÉ,92320 (Hauts-de-Seine),"NON VÉRIFIÉ — annonce de destockplus, identité légale non établie",destockplus.com
4-MatieresPremieres,PATERNEBIO,FR,Grossiste karité,"Beurre de karité brut bio en pots 150 g, offre marque blanche",Prix dégressif déclaré,⚠️ idem SENIMPEX,NON VÉRIFIÉ,NON VÉRIFIÉ,"NON VÉRIFIÉ — annonce, identité légale non établie",destockplus.com
4-MatieresPremieres,LOBIKO,FR,Grossiste karité,"Beurre de karité brut, bio, non raffiné, origine Burkina Faso",Marque blanche,⚠️ idem SENIMPEX,NON VÉRIFIÉ,lobikocosmetique@gmail.com,"NON VÉRIFIÉ — annonce, seule adresse un Gmail",destockplus.com
4-MatieresPremieres,KARITEDUFASO,BF,Producteur/conditionneur,"Beurre de karité, cacao, mangue, Burkina Faso",Artisanal,⚠️ Burkina Faso = pays tiers → IMPORTATEUR = personne responsable,NON VÉRIFIÉ,NON VÉRIFIÉ,NON VÉRIFIÉ — repéré sur Europages,europages.fr
5-Dropship,Ankorstore,FR,Marketplace B2B,20 000+ marques européennes dont 1 200 marques de beauté françaises,"Sans stock, commande groupée",Distributeur : marques déjà sur le marché UE,"100 € minimum PAR MARQUE, franco 300 €",via plateforme,"VÉRIFIÉ sur sources croisées. Paiement à 60 jours, 0 % commission réassorts depuis janvier 2026",premiumbeautynews.com · alliancy.fr
5-Dropship,Nova Engel / Grupo Engel,ES,Dropshipper,"800+ marques, 30 000+ références","API REST + CSV + XML, expédition anonyme 24/48 h",Distributeur si stock UE,Dépôt 500 € non remboursable,via plateforme,DÉCLARATIF,recherches antérieures
5-Dropship,Qudo Beauty,RO,Grossiste K-beauty,"1 800+ produits, 86+ marques, entrepôt Roumanie","MOQ 300 € au total, aucun MOQ par référence",⚠️ produits coréens HORS UE : conformes seulement si un importateur UE a fait CPNP + RP,"300 € au total, port offert dès 500 €",+40 752 200 449,VÉRIFIÉ comme société (VAT RO50381912). ⚠️ déclaration CPNP+INCI+RP UE NON VÉRIFIÉE — mais c'est la preuve à exiger des autres,recherches antérieures
