palier_prix,nom,pays,type,gammes,prix_constate,moq,conditions,conformite_ue,contact,verification,source
C - gamme peau / K-beauty,Kocosmetic / Bizdistribution,FR (creee 2021),Grossiste K-beauty B2B,"Nacific, Skin1004, Cosrx, Beauty of Joseon",variable,a demander,"B2B kocosmetic.fr, relations directes laboratoires coreens",ATTENTION : produits coreens = hors UE. CPNP + RP a exiger,kocosmetic.fr,VERIFIE site,kocosmetic.fr
C - gamme peau / K-beauty,BLACKETIQUE SASU,FR,Grossiste B2B,"Skincare COREENNE + haircare ethnique, 35 a 50 marques, stock France",variable,a demander,"Compte pro gratuit, tarifs gros apres validation",Stock France -> distributeur,01 84 80 62 40 / info@blacketique.com / Groslay 95,VERIFIE site + page haircare,blacketique.com
C - gamme peau / K-beauty,Pibukare,FR,Boutique K-beauty,"34 marques (Anua, COSRX, Beauty of Joseon), entrepot France",variable,-,"Expedition 48h, 8 corners en France",Stock France. PROGRAMME B2B NON VERIFIE (boutique B2C),01 40 91 48 32 / hello@pibukare.com / Boulogne-Billancourt 92,VERIFIE site. B2B non prouve,pibukare.com
C - gamme peau / K-beauty,Skinorea,FR,Boutique K-beauty,"Selection coreenne, stock Paris",variable,-,Livraison gratuite des 75 EUR,Stock Paris. B2B non verifie,-,VERIFIE presse - non contacte,testsdeproduits.fr
D - destockage (regle stricte),Synyco SAS,FR,Destockeur,"Cosmetiques, hygiene personnelle, entretien",jusqu'a -70% vs supermarche,a demander,"Surplus et produits finis, Europe/Afrique/Amerique du Sud/Moyen-Orient","REGLE : uniquement produits deja sur marche UE, DDM/PAO lisible, lot tracable",-,Europages,europages.fr
D - destockage (regle stricte),HADAR DISTRIBUTION,FR (Marseille),Destockeur,"Hygiene, entretien, cosmetique grandes marques",lots de 100 pieces a 4 EUR HT,100 pieces,Import-export et destockage,REGLE idem,hadardistribution.com,Europages + destockplus,europages.fr
D - destockage (regle stricte),Societe Rose Bleue,FR (Gagny 93),Destockeur gros et demi-gros,Parfums et cosmetiques grandes marques,variable,variable,"Showroom 28 ter av de Versailles 93220, lun-ven 14h-18h sans RDV",REGLE idem,06 27 78 09 41,Destockplus,destockplus.com
D - destockage (regle stricte),Destockplus,FR,Place de marche B2B destockage,1094 annonces cosmetiques,variable,variable,"Lots discount, liquidation","REGLE idem, annonce par annonce",destockplus.com,VERIFIE site,destockplus.com
E - A ECARTER,Westock Europe,FR,Grossiste « prix casses »,Maquillage et parfum de marque,"Chanel 23,90 EUR (barre 38) ; Cabotine de Gres 100ml 9,90 EUR (barre 67,50) ; Huda Beauty 9,90 EUR (barre 29,95)","sans minimum, achat a l'unite",Expedition en marque blanche directe client,"A ECARTER : un rouge a levres Chanel a 23,90 EUR en gros n'existe pas. Indicateur de CONTREFACON ou circuit non autorise. Delit au code de la propriete intellectuelle",westock-europe.fr,Prix releves sur site le 13/09/2026,westock-europe.fr
E - A ECARTER,Stocklot World Ltd,GB,Destockeur lots,Cosmetiques en lots,variable,variable,-,A ECARTER en palier 2 : ROYAUME-UNI = pays tiers post-Brexit -> KURLA importateur = personne responsable (art. 4.5),"Harrogate, creee 2011",Europages,europages.fr
