n,besoin_principal,besoin_principal_libelle,besoins_secondaires,famille_subcategory,etape_routine_step,nom,actif_cle,format,fourchette_positionnement,canal_annee_1,department,note_conformite,marque_verifiee,fournisseur_verifie,a_contacter
13,eclat,Éclat & teint terne,par_ingredient|taches,Exfoliation,Exfoliant AHA doux,Exfoliant AHA 7 % Usage Progressif,acide glycolique,100 ml,14-22 €,affiliation,peau,AHA. Avertissement photosensibilisant obligatoire. Pas de décapage.,,,oui
14,imperfections,Imperfections / boutons,par_ingredient|grasse,Exfoliation,Exfoliant BHA,Exfoliant BHA 2 % Pores et Imperfections,acide salicylique,100 ml,14-22 €,affiliation,peau,BHA. Aucune allégation de traitement de l'acné.,,,oui
15,sensible,Peau sensible / réactive,eclat|par_ingredient,Exfoliation,Peeling enzymatique doux,Peeling Enzymatique Doux Peaux Sensibles,enzyme de papaye,50 ml,15-24 €,affiliation,peau,Alternative aux acides pour peaux réactives. Pas de gommage à grains.,,,oui
16,corps,Peau du corps,hydrater,Exfoliation,Gommage corps doux,Gommage Corps Doux Sucre et Huile,sucre,200 g,11-18 €,affiliation,peau,"Gommage corps, grains fins. Pas de gommage agressif sur le visage.",,,oui
17,levres,Lèvres sèches,hydrater,Exfoliation,Exfoliant lèvres,Gommage Lèvres Doux,sucre fin,15 g,6-10 €,affiliation,peau,Usage lèvres uniquement.,,,oui
18,eclat,Éclat & teint terne,taches|par_ingredient,Exfoliation,Masque exfoliant éclat,Masque Exfoliant Éclat,acide lactique,50 ml,14-22 €,affiliation,peau,AHA doux. Avertissement photosensibilisant.,,,oui
19,grasse,Peau grasse / brillance,imperfections|par_ingredient,Exfoliation,Pad exfoliant quotidien,Pads Exfoliants BHA (lot de 30),acide salicylique,30 pads,13-20 €,affiliation,peau,Format pads. Aucune allégation thérapeutique.,,,oui
20,taches,Taches / HPI,par_ingredient|grasse|eclat,Traitement,Sérum niacinamide,Sérum Niacinamide 5 %,niacinamide,30 ml,12-19 €,affiliation,peau,Actif déjà listé dans SKIN_ACTIVE_FILTERS. Aucune allégation éclaircissante.,,,oui
21,imperfections,Imperfections / boutons,par_ingredient|taches|cicatrices,Traitement,Sérum acide azélaïque,Sérum Acide Azélaïque 10 %,acide azélaïque,30 ml,14-22 €,affiliation,peau,Pas d'hydroquinone. Aucune allégation de traitement médical.,,,oui
22,eclat,Éclat & teint terne,par_ingredient|taches|anti_age,Traitement,Sérum vitamine C,Sérum Vitamine C Stabilisée 10 %,ascorbyl glucoside,30 ml,15-24 €,affiliation,peau,Forme stabilisée. Aucune promesse de résultat.,,,oui
23,anti_age,Rides / fermeté,par_ingredient|taches,Traitement,Sérum rétinol doux,"Sérum Rétinol 0,3 % Usage Progressif",rétinol,30 ml,16-26 €,affiliation,peau,Rétinol. Mention d'usage progressif et de photosensibilité. Interdit grossesse.,,,oui
24,hydrater,Hydrater,par_ingredient|barriere|seche,Traitement,Sérum acide hyaluronique,Sérum Acide Hyaluronique Multi-Poids,hyaluronate de sodium,30 ml,12-20 €,affiliation,peau,Hydratation. Aucune allégation de comblement des rides.,,,oui
25,barriere,Barrière cutanée,par_ingredient|sensible|seche,Traitement,Sérum céramides,Sérum Céramides NP Réparateur,céramide NP,30 ml,14-22 €,affiliation,peau,Renforcement de barrière. Aucune allégation thérapeutique.,,,oui
26,anti_age,Rides / fermeté,par_ingredient|barriere,Traitement,Sérum peptides,Sérum Peptides Fermeté,peptides,30 ml,18-28 €,affiliation,peau,Aucune promesse de résultat. Pas d'allégation de type botox-like.,,,oui
27,sensible,Peau sensible / réactive,par_ingredient|eclat,Traitement,Sérum exfoliant PHA,Sérum PHA Doux Peaux Réactives,gluconolactone,30 ml,14-22 €,affiliation,peau,"PHA, mieux toléré que les AHA. Pas de décapage.",,,oui
28,taches,Taches / HPI,cicatrices|eclat,Traitement,Sérum anti-taches,Sérum Anti-Taches Post-Imperfections,acide tranexamique,30 ml,15-24 €,affiliation,peau,"Uniformiser, JAMAIS éclaircir. Pas d'hydroquinone, pas de mercure.",,,oui
29,cicatrices,Cicatrices post-acné,taches|par_ingredient,Traitement,Sérum cicatrices post-acné,Sérum Marques Post-Imperfections,niacinamide,30 ml,14-22 €,affiliation,peau,"Marques pigmentaires, pas cicatrices atrophiques. Aucune promesse d'effacement.",,,oui
30,contour_yeux,Contour des yeux,anti_age|hydrater,Traitement,Sérum contour des yeux,Sérum Contour des Yeux Caféine,caféine,15 ml,13-21 €,affiliation,peau,Cernes et poches. Aucune allégation médicale sur les cernes.,,,oui
31,sensible,Peau sensible / réactive,barriere|hydrater,Traitement,Sérum apaisant,Sérum Apaisant Haute Tolérance,allantoïne,30 ml,13-20 €,affiliation,peau,Haute tolérance. Aucune allégation anti-inflammatoire.,,,oui
32,grasse,Peau grasse / brillance,imperfections|eclat,Traitement,Sérum régulateur sébum,Sérum Régulateur de Brillance,zinc PCA,30 ml,13-20 €,affiliation,peau,Matifier sans assécher. Aucune allégation sur l'acné.,,,oui
33,eclat,Éclat & teint terne,taches|hydrater,Traitement,Sérum éclat uniformité,Sérum Éclat Uniformité du Teint,extrait de réglisse,30 ml,14-22 €,affiliation,peau,Teint lumineux. Pas d'allégation éclaircissante ni blanchissante.,,,oui
34,seche,Peau sèche / très sèche,hydrater|barriere,Traitement,Sérum hydratant intense,Sérum Hydratant Intense Peaux Très Sèches,glycérine,30 ml,12-19 €,affiliation,peau,Peaux très sèches. Aucune allégation thérapeutique.,,,oui
35,anti_age,Rides / fermeté,par_ingredient|sensible,Traitement,Sérum bakuchiol,Sérum Bakuchiol Alternative Douce,bakuchiol,30 ml,16-25 €,affiliation,peau,Alternative végétale au rétinol. Aucune comparaison d'efficacité affirmée.,,,oui
36,corps,Peau du corps,taches|cicatrices,Traitement,Sérum corps uniformisant,Lait Corps Uniformisant,niacinamide,250 ml,13-20 €,affiliation,peau,"Corps. Uniformiser, jamais éclaircir.",,,oui
37,imperfections,Imperfections / boutons,par_ingredient|cicatrices,Traitement,Soin local imperfections,Soin Localisé Imperfections,acide salicylique,15 ml,9-15 €,affiliation,peau,Application locale. Aucune allégation de traitement de l'acné.,,,oui
38,hydrater,Hydrater,grasse|barriere,Traitement,Sérum hydratant homme,Sérum Hydratant Visage Homme,acide hyaluronique,30 ml,12-19 €,affiliation,hommes,Département hommes.,,,oui
39,imperfections,Imperfections / boutons,corps|cicatrices,Traitement,Sérum poils incarnés,Soin Poils Incarnés Corps,acide glycolique,100 ml,12-19 €,affiliation,peau,"Corps, zones rasées. Aucune allégation médicale.",,,oui
40,corps,Peau du corps,hydrater|seche,Traitement,Sérum mains,Sérum Mains Réparateur,glycérine,50 ml,8-13 €,affiliation,peau,Sous-catégorie mains.,,,oui
41,corps,Peau du corps,hydrater|seche,Traitement,Sérum pieds,Crème Pieds Réparatrice,urée,75 ml,8-14 €,affiliation,peau,"Sous-catégorie pieds. Urée à concentration cosmétique, pas médicale.",,,oui
42,hydrater,Hydrater,grasse|barriere,Hydratation,Crème hydratante légère,Crème Hydratante Légère Non Comédogène,acide hyaluronique,50 ml,12-19 €,affiliation,peau,Texture légère. Aucune allégation thérapeutique.,,,oui
43,seche,Peau sèche / très sèche,hydrater|barriere,Hydratation,Crème hydratante riche,Crème Hydratante Riche Peaux Sèches,beurre de karité,50 ml,14-22 €,affiliation,peau,Peaux sèches à très sèches.,,,oui
44,grasse,Peau grasse / brillance,hydrater|imperfections,Hydratation,Gel hydratant,Gel Hydratant Oil-Free,acide hyaluronique,50 ml,11-18 €,affiliation,peau,Sans corps gras. Peaux mixtes à grasses.,,,oui
45,barriere,Barrière cutanée,sensible|seche,Hydratation,Crème hydratante céramides,Crème Barrière Céramides,céramide NP,50 ml,15-24 €,affiliation,peau,Réparation de barrière. Aucune allégation thérapeutique.,,,oui
46,grasse,Peau grasse / brillance,hydrater|eclat,Hydratation,Fluide hydratant matifiant,Fluide Hydratant Matifiant,niacinamide,40 ml,13-20 €,affiliation,peau,Matifier sans assécher.,,,oui
47,sensible,Peau sensible / réactive,barriere|hydrater,Hydratation,Crème hydratante apaisante,Crème Apaisante Haute Tolérance,allantoïne,50 ml,14-22 €,affiliation,peau,Sans parfum. Aucune allégation anti-inflammatoire.,,,oui
48,corps,Peau du corps,hydrater|seche,Hydratation,Lait corps hydratant,Lait Corps Hydratant 24 h,glycérine,250 ml,11-18 €,affiliation,peau,Corps. Aucune promesse de durée vérifiée : 24 h est un positionnement.,,,oui
49,seche,Peau sèche / très sèche,corps|hydrater,Hydratation,Beurre corps nourrissant,Beurre Corps Nourrissant Karité,beurre de karité,200 ml,13-21 €,affiliation,peau,Corps. Karité d'origine à documenter.,,,oui
50,levres,Lèvres sèches,hydrater,Hydratation,Baume lèvres,Baume Lèvres Réparateur,beurre de karité,10 g,6-10 €,affiliation,peau,Lèvres. Aucune allégation de traitement de l'herpès.,,,oui
51,levres,Lèvres sèches,hydrater,Hydratation,Masque lèvres de nuit,Masque Lèvres de Nuit,céramides,20 g,8-13 €,affiliation,peau,Lèvres.,,,oui
52,corps,Peau du corps,hydrater|seche,Hydratation,Crème mains,Crème Mains Nourrissante,beurre de karité,75 ml,7-12 €,affiliation,peau,Sous-catégorie mains.,,,oui
53,corps,Peau du corps,hydrater|seche,Hydratation,Crème pieds,Crème Pieds Nourrissante,beurre de karité,75 ml,7-12 €,affiliation,peau,Sous-catégorie pieds.,,,oui
54,hydrater,Hydrater,grasse|barriere,Hydratation,Crème hydratante homme,Crème Hydratante Visage Homme,acide hyaluronique,50 ml,12-19 €,affiliation,hommes,Département hommes.,,,oui
55,hydrater,Hydrater,sensible|corps,Hydratation,Lait hydratant enfant,Lait Hydratant Douceur Enfant,glycérine,250 ml,9-15 €,affiliation,enfants,"Département enfants. Formulation douce, aucune allégation médicale.",,,oui
56,hydrater,Hydrater,sensible|eclat,Hydratation,Brume hydratante visage,Brume Hydratante Rafraîchissante,eau florale,100 ml,8-14 €,affiliation,peau,Sans parfum ajouté.,,,oui
57,seche,Peau sèche / très sèche,hydrater|barriere,Hydratation,Huile visage nourrissante,Huile Visage Nourrissante,huile de jojoba,30 ml,14-22 €,affiliation,peau,Peaux sèches. Usage soir.,,,oui
58,hydrater,Hydrater,seche|barriere,Masques,Masque hydratant,Masque Hydratant Repulpant,acide hyaluronique,50 ml,12-19 €,affiliation,peau,Aucune allégation de comblement des rides.,,,oui
59,sensible,Peau sensible / réactive,barriere|hydrater,Masques,Masque apaisant,Masque Apaisant Peaux Réactives,allantoïne,50 ml,12-19 €,affiliation,peau,Sans parfum. Aucune allégation anti-inflammatoire.,,,oui
60,grasse,Peau grasse / brillance,imperfections|eclat,Masques,Masque purifiant,Masque Purifiant à l'Argile,argile blanche,50 ml,10-16 €,affiliation,peau,Ne pas laisser sécher complètement. Aucune allégation détox non fondée.,,,oui
61,eclat,Éclat & teint terne,taches|par_ingredient,Masques,Masque éclat,Masque Éclat Vitaminé,vitamine C,50 ml,13-20 €,affiliation,peau,Teint lumineux. Aucune promesse de résultat.,,,oui
62,hydrater,Hydrater,barriere|anti_age,Masques,Masque de nuit,Masque de Nuit Régénérant,peptides,50 ml,15-24 €,affiliation,peau,Aucune allégation de régénération cellulaire vérifiée.,,,oui
63,hydrater,Hydrater,eclat,Masques,Masque en tissu hydratant,Masque en Tissu Hydratant (lot de 5),acide hyaluronique,5 × 22 g,7-12 €,affiliation,peau,Format monodose.,,,oui
64,contour_yeux,Contour des yeux,hydrater|anti_age,Masques,Masque contour des yeux,Patchs Contour des Yeux (lot de 30),caféine,30 patchs,10-16 €,affiliation,peau,Cernes et poches. Aucune allégation médicale.,,,oui
65,eclat,Éclat & teint terne,par_ingredient|taches,Masques,Masque exfoliant doux,Masque Exfoliant Doux,acide lactique,50 ml,12-19 €,affiliation,peau,AHA doux. Avertissement photosensibilisant.,,,oui
66,grasse,Peau grasse / brillance,imperfections,Masques,Masque purifiant homme,Masque Purifiant Visage Homme,argile blanche,50 ml,10-16 €,affiliation,hommes,Département hommes.,,,oui
67,corps,Peau du corps,seche|hydrater,Masques,Masque corps nourrissant,Masque Corps Nourrissant,beurre de karité,200 ml,12-19 €,affiliation,peau,Corps.,,,oui
68,contour_yeux,Contour des yeux,hydrater|anti_age,Soin yeux,Crème contour des yeux,Crème Contour des Yeux Hydratante,caféine,15 ml,13-21 €,affiliation,peau,Cernes et poches. Aucune allégation médicale.,,,oui
69,contour_yeux,Contour des yeux,hydrater|grasse,Soin yeux,Gel contour des yeux,Gel Contour des Yeux Frais,caféine,15 ml,12-19 €,affiliation,peau,Texture gel.,,,oui
70,contour_yeux,Contour des yeux,hydrater,Soin yeux,Sérum cils et sourcils,Sérum Fortifiant Cils et Sourcils,peptides,5 ml,14-22 €,affiliation,peau,Aucune allégation de pousse vérifiée. Pas de prostaglandine.,,,oui
71,contour_yeux,Contour des yeux,sensible|hydrater,Soin yeux,Démaquillant yeux doux,Démaquillant Yeux Biphasé Doux,huile de jojoba,125 ml,9-15 €,affiliation,peau,Sans parfum. Testé pour la zone oculaire.,,,oui
72,contour_yeux,Contour des yeux,hydrater,Soin yeux,Masque yeux de nuit,Masque Yeux de Nuit,céramides,15 ml,13-20 €,affiliation,peau,Usage nocturne.,,,oui
73,levres,Lèvres sèches,hydrater,Lèvres,Baume lèvres teinté,Baume Lèvres Teinté Hydratant,beurre de karité,10 g,7-12 €,affiliation,peau,Lèvres. Aucune allégation de traitement.,,,oui
74,levres,Lèvres sèches,hydrater,Lèvres,Huile lèvres,Huile Lèvres Confort,huile de jojoba,10 ml,8-13 €,affiliation,peau,Lèvres.,,,oui
75,levres,Lèvres sèches,hydrater,Lèvres,Masque lèvres,Masque Lèvres Réparateur,céramides,15 g,8-13 €,affiliation,peau,Lèvres.,,,oui
76,levres,Lèvres sèches,hydrater|corps,Lèvres,Stick lèvres protection,Stick Lèvres Nourrissant,beurre de karité,"4,8 g",5-9 €,affiliation,peau,⚠️ SANS SPF : la protection solaire n'est pas ouverte en année 1.,,,oui
77,corps,Peau du corps,seche|hydrater,Corps,Huile corps,Huile Corps Nourrissante,huile d'amande douce,100 ml,12-19 €,affiliation,peau,Corps.,,,oui
78,seche,Peau sèche / très sèche,corps|hydrater,Corps,Crème corps riche,Crème Corps Riche Zones Sèches,beurre de karité,200 ml,12-19 €,affiliation,peau,"Coudes, genoux, talons.",,,oui
79,corps,Peau du corps,hydrater|sensible,Corps,Gel douche doux,Gel Douche Doux Sans Sulfates,glycérine,250 ml,7-12 €,affiliation,peau,Département hygiène possible. Sans sulfates agressifs.,,,oui
80,corps,Peau du corps,seche|sensible,Corps,Savon surgras,Savon Surgras Karité,beurre de karité,100 g,5-9 €,affiliation,peau,Saponification à froid. Karité d'origine à documenter.,,,oui
81,sensible,Peau sensible / réactive,corps|barriere,Corps,Lait corps apaisant,Lait Corps Apaisant Sans Parfum,allantoïne,250 ml,11-18 €,affiliation,peau,Sans parfum.,,,oui
82,imperfections,Imperfections / boutons,corps|cicatrices,Corps,Soin zones rasées,Soin Apaisant Zones Rasées,allantoïne,100 ml,10-16 €,affiliation,peau,Aucune allégation sur les poils incarnés médicaux.,,,oui
83,corps,Peau du corps,sensible,Corps,Déodorant doux,Déodorant Doux Sans Sels d'Aluminium,pierre d'alun,50 ml,8-13 €,affiliation,peau,"Déodorant, pas anti-transpirant. Aucune allégation santé.",,,oui
84,corps,Peau du corps,hydrater|seche,Corps,Huile de massage,Huile de Massage Neutre,huile d'amande douce,150 ml,11-18 €,affiliation,peau,Aucune allégation thérapeutique ni minceur.,,,oui
85,hydrater,Hydrater,,Accessoires,Accessoire d'application,Rouleau de Jade Visage,jade,1 pièce,9-16 €,dropship,accessoires,Matériel. Aucune allégation de drainage lymphatique vérifiée.,,,oui
86,eclat,Éclat & teint terne,,Accessoires,Accessoire d'application,Gua Sha Visage,quartz rose,1 pièce,9-16 €,dropship,accessoires,Matériel. Aucune allégation médicale.,,,oui
87,hydrater,Hydrater,,Accessoires,Accessoire d'application,Pinceau Masque Silicone,silicone,1 pièce,5-9 €,dropship,accessoires,Matériel.,,,oui
88,imperfections,Imperfections / boutons,,Accessoires,Accessoire d'application,Spatule Comédon Inox (usage doux),acier inoxydable,1 pièce,5-9 €,dropship,accessoires,⚠️ Usage doux uniquement. Ne pas encourager le perçage à domicile.,,,oui
89,hydrater,Hydrater,,Accessoires,Accessoire d'application,Bandeau Cheveux Spa Éponge,microfibre,1 pièce,5-9 €,dropship,accessoires,Matériel.,,,oui
90,hydrater,Hydrater,,Accessoires,Accessoire d'application,Miroir Grossissant sur Pied,verre,1 pièce,12-22 €,dropship,accessoires,Matériel.,,,oui
91,hydrater,Hydrater,,Accessoires,Accessoire d'application,Trousse de Toilette Imperméable,polyester,1 pièce,10-18 €,dropship,accessoires,Matériel.,,,oui
92,corps,Peau du corps,,Accessoires,Accessoire d'application,Brosse Corps Sèche,fibres naturelles,1 pièce,9-15 €,dropship,accessoires,Matériel. Aucune allégation de drainage ou de minceur.,,,oui
93,corps,Peau du corps,,Accessoires,Accessoire d'application,Gant de Gommage Doux,viscose,2 pièces,6-10 €,dropship,accessoires,Matériel. Pas de gommage agressif.,,,oui
94,corps,Peau du corps,,Accessoires,Accessoire d'application,Pierre Ponce Naturelle,pierre ponce,1 pièce,4-8 €,dropship,accessoires,"Matériel, pieds.",,,oui
95,hydrater,Hydrater,,Accessoires,Accessoire d'application,Flacon Pompe Vide Réutilisable (lot de 3),PET,3 pièces,6-11 €,dropship,accessoires,"Matériel. Réemploi, cohérent PPWR.",,,oui
96,hydrater,Hydrater,,Accessoires,Accessoire d'application,Pot Cosmétique Vide Verre (lot de 3),verre,3 pièces,8-14 €,dropship,accessoires,Matériel.,,,oui
97,contour_yeux,Contour des yeux,,Accessoires,Accessoire d'application,Applicateur Roll-on Yeux Inox,acier inoxydable,1 pièce,6-11 €,dropship,accessoires,Matériel. Aucune allégation sur les cernes.,,,oui
98,hydrater,Hydrater,,Accessoires,Accessoire d'application,Boîte Voyage Flacons 50 ml (set),silicone,set,8-14 €,dropship,accessoires,Matériel.,,,oui
99,sensible,Peau sensible / réactive,,Accessoires,Accessoire d'application,Serviettes Visage Coton Bio (lot de 3),coton bio,3 pièces,10-17 €,dropship,accessoires,Matériel textile. OEKO-TEX à demander.,,,oui
100,hydrater,Hydrater,,Accessoires,Accessoire d'application,Mini Frigo Cosmétique 4 L,ABS,1 pièce,35-60 €,dropship,accessoires,Matériel électrique. Marquage CE à exiger.,,,oui
