besoin,titre_besoin,rang,marque,produit,format,prix_constate_eur,statut_prix,fournisseur_canal
3,Niveau d'hydratation (brillante / sèche / déshydratée),1,Isntree,Sérum HA ultra bas poids moléculaire,50 ml,18.9,vérifié le 14/09/2026 — jejuskin.fr,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
3,Niveau d'hydratation (brillante / sèche / déshydratée),2,Round Lab,Birch Juice Moisturizing Toner,300 ml,12.99,"vérifié le 14/09/2026 — medpak.shop (à 19,95 € koreanskincare.com)","Kocosmetic/Bizdistribution (repéré 14/09 — K-beauty B2B FR, à recouper)"
3,Niveau d'hydratation (brillante / sèche / déshydratée),3,CeraVe,Lotion hydratante,400 ml,10.95,vérifié le 14/09/2026 — primor.eu,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
3,Niveau d'hydratation (brillante / sèche / déshydratée),4,Torriden,Dive-In Sérum acide hyaluronique,50 ml,23.0,vérifié le 14/09/2026 — cosmeterie.ie,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
3,Niveau d'hydratation (brillante / sèche / déshydratée),5,CeraVe,Gel-crème matifiant (peaux mixtes),53 ml,13.63,vérifié le 14/09/2026 — amazon.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
4,"Niveau de sensibilité — socle sans parfum, haute tolérance",1,CeraVe,Crème lavante hydratante (sans parfum),236 ml,10.9,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
4,"Niveau de sensibilité — socle sans parfum, haute tolérance",2,La Roche-Posay,Cicaplast Baume B5+,100 ml,13.39,constaté le 14/09/2026 (fiche) — src-lrp-007,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
4,"Niveau de sensibilité — socle sans parfum, haute tolérance",3,CeraVe,Pommade réparatrice intensive (multi-usages),50 ml,8.67,vérifié le 14/09/2026 — pharmacie-boissiere.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
4,"Niveau de sensibilité — socle sans parfum, haute tolérance",4,Torriden,Balanceful Gel nettoyant centella,200 ml,,à vérifier — fiche peau-test existante,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
4,"Niveau de sensibilité — socle sans parfum, haute tolérance",5,La Roche-Posay,"Lipikar Wash (gel lavant corps, sans savon)",400 ml,10.5,"vérifié le 15/09/2026 — laroche-posay.fr (prix officiel, 400 ml)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
5,Phototype + ses limites — débouché produit : le SPF,1,Beauty of Joseon,Relief Sun Rice + Probiotics SPF50+,50 ml,12.25,"vérifié le 14/09/2026 — koreanskincare.com (14,40 € Lookfantastic FR)","EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
5,Phototype + ses limites — débouché produit : le SPF,2,La Roche-Posay,Anthelios XL teinté gel-crème SPF50+,50 ml,9.5,"vérifié le 14/09/2026 — idealo.fr dès 9,50 €",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
5,Phototype + ses limites — débouché produit : le SPF,3,Eucerin,Sun Pigment Control Gel-Crème teinté SPF50+,50 ml,12.59,constaté le 14/09/2026 (fiche) — src-euc-002,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
5,Phototype + ses limites — débouché produit : le SPF,4,Round Lab,Birch Juice Moisturizing Sun Cream SPF50+,50 ml,17.59,vérifié le 14/09/2026 — koreanskincare.com,"Kocosmetic/Bizdistribution (repéré 14/09 — K-beauty B2B FR, à recouper)"
5,Phototype + ses limites — débouché produit : le SPF,5,Isntree,Hydramooth / Sun gel SPF50 (gammes solaires K),50 ml,14.59,vérifié le 15/09/2026 — amazon.fr (Hyaluronic Acid Watery Sun Gel SPF50+ PA++++),"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
6,Profondeur de ton et sous-ton — débouché : maquillage teinte,1,essence,I Love Flawless Skin (11 teintes dont Dark Porcelain),30 ml,7.5,vérifié le 14/09/2026 — notino.fr,Grande distribution (rayon beauté)
6,Profondeur de ton et sous-ton — débouché : maquillage teinte,2,Maybelline,Fit Me fond de teint (350 Caramel/352 Cacao/365 Expresso),30 ml,9.39,"vérifié le 14/09/2026 — cdiscount.com (12,99 € teinte 352)",Grande distribution (rayon beauté)
6,Profondeur de ton et sous-ton — débouché : maquillage teinte,3,L'Oréal Paris,True Match fond de teint,30 ml,18.99,constaté le 14/09/2026 (fiche) — src-loreal-001,Grande distribution (rayon beauté)
6,Profondeur de ton et sous-ton — débouché : maquillage teinte,4,L'Oréal Paris,Infallible 24H Fresh Wear (nuances profondes),30 ml,7.5,vérifié le 15/09/2026 — idealo.fr (teintes Expresso 380 / Ambre Profond 375),Grande distribution (rayon beauté)
6,Profondeur de ton et sous-ton — débouché : maquillage teinte,5,NYX,Can't Stop Won't Stop (gamme étendue),30 ml,12.88,vérifié le 15/09/2026 — idealo.fr (teinte 24),Grande distribution (rayon beauté)
7,Force de la barrière cutanée — céramides,1,CeraVe,Crème hydratante (3 céramides),52 ml,15.35,vérifié le 14/09/2026 — kalista-parfums.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
7,Force de la barrière cutanée — céramides,2,The INKEY List,Bio-Active Ceramide hydratant,50 ml,16.38,vérifié le 14/09/2026 — lookfantastic.fr (−25 %),Grande distribution pharmacie/parapharmacie (distributeur à désigner)
7,Force de la barrière cutanée — céramides,3,La Roche-Posay,Cicaplast Baume B5+,100 ml,13.39,constaté le 14/09/2026 (fiche) — src-lrp-007,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
7,Force de la barrière cutanée — céramides,4,Torriden,Dive-In Crème apaisante HA,100 ml,,à vérifier — fiche peau-test existante,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
7,Force de la barrière cutanée — céramides,5,CeraVe,"Lotion hydratante (barrière, texture légère)",400 ml,10.95,vérifié le 14/09/2026 — primor.eu,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
8,Profilage saisonnier (hiver vs été),1,CeraVe,"Huile lavante moussante (hiver, peau très sèche)",473 ml,16.67,vérifié le 14/09/2026 — amazon.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
8,Profilage saisonnier (hiver vs été),2,CeraVe,"Lotion hydratante (été, texture légère)",400 ml,10.95,vérifié le 14/09/2026 — primor.eu,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
8,Profilage saisonnier (hiver vs été),3,Weleda,Lait corps nourrissant à l'argousier,200 ml,15.0,constaté le 14/09/2026 (fiche) — src-weleda-002,"Ankorstore (✔ vérifié, marques FR, min. 100 €/marque)"
8,Profilage saisonnier (hiver vs été),4,Beauty of Joseon,Relief Sun SPF50+ (jamais en pause),50 ml,12.25,vérifié le 14/09/2026 — koreanskincare.com,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
8,Profilage saisonnier (hiver vs été),5,CeraVe,Crème lavante hydratante éco-recharge,473 ml,8.72,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
9,Taches post-boutons (HPI),1,The Ordinary,Niacinamide 10 % + Zinc 1 %,30 ml,5.59,"vérifié le 14/09/2026 — redcare-pharmacie.fr (6,19 € PPC)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
9,Taches post-boutons (HPI),2,The Ordinary,Acide azélaïque suspension 10 %,30 ml,13.5,constaté le 14/09/2026 (fiche) — src-to-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
9,Taches post-boutons (HPI),3,COSRX,Acne Pimple Master Patch,24 patchs,6.89,"vérifié le 14/09/2026 — lookfantastic.fr (3,63 € koreanskincare.com)","EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
9,Taches post-boutons (HPI),4,The Ordinary,Solution à l'acide salicylique 2 %,30 ml,7.49,"vérifié le 14/09/2026 — boticinal.com (7,50 € mapharmanaturelle.com)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
9,Taches post-boutons (HPI),5,The INKEY List,Super Solutions sérum azélaïque 10 %,30 ml,18.4,constaté le 14/09/2026 (fiche) — src-inkey-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
10,Taches solaires,1,Beauty of Joseon,Relief Sun SPF50+ PA++++,50 ml,12.25,vérifié le 14/09/2026 — koreanskincare.com,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
10,Taches solaires,2,La Roche-Posay,Anthelios XL teinté SPF50+,50 ml,9.5,"vérifié le 14/09/2026 — idealo.fr dès 9,50 €",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
10,Taches solaires,3,Eucerin,Sun Pigment Control teinté SPF50+,50 ml,12.59,constaté le 14/09/2026 (fiche) — src-euc-002,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
10,Taches solaires,4,Round Lab,Birch Juice Sun Cream SPF50+,50 ml,17.59,vérifié le 14/09/2026 — koreanskincare.com,"Kocosmetic/Bizdistribution (repéré 14/09 — K-beauty B2B FR, à recouper)"
10,Taches solaires,5,Isdin,Fotoprotector Fusion Water Magic Glow teinté SPF50,50 ml,16.49,"vérifié le 14/09/2026 — idealo.fr dès 16,49 €",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
11,Teint irrégulier,1,The Ordinary,Niacinamide 10 % + Zinc 1 %,30 ml,5.59,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
11,Teint irrégulier,2,The Ordinary,Suspension vitamine C 23 % + HA 2 %,30 ml,8.2,"vérifié le 14/09/2026 — redcare-pharmacie.fr (9,50 € nocibe.fr)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
11,Teint irrégulier,3,The Ordinary,Solution salicylique 2 %,30 ml,7.49,vérifié le 14/09/2026 — boticinal.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
11,Teint irrégulier,4,Beauty of Joseon,Glow Serum Propolis 10 %,30 ml,11.93,vérifié le 15/09/2026 — idealo.fr,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
11,Teint irrégulier,5,Garnier,Sérum vitamine C Bright Complete,30 ml,13.99,"vérifié le 15/09/2026 — amazon.fr (Garnier SkinActive sérum vitamine C, 30 ml)",Grande distribution (rayon beauté)
12,"Teint terne, fatigué",1,The Ordinary,Suspension vitamine C 23 % + HA 2 %,30 ml,8.2,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
12,"Teint terne, fatigué",2,The Ordinary,Niacinamide 10 % + Zinc 1 %,30 ml,5.59,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
12,"Teint terne, fatigué",3,The Ordinary,Solution d'ascorbyl glucoside 12 %,30 ml,17.0,vérifié le 14/09/2026 — nocibe.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
12,"Teint terne, fatigué",4,Garnier,Sérum vitamine C Bright Complete,30 ml,13.99,"vérifié le 15/09/2026 — amazon.fr (Garnier SkinActive sérum vitamine C, 30 ml)",Grande distribution (rayon beauté)
12,"Teint terne, fatigué",5,Beauty of Joseon,Glow Serum Propolis 10 %,30 ml,11.93,vérifié le 15/09/2026 — idealo.fr,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
13,Taches par frottement et pression (différenciateur KURLA),1,The Ordinary,Acide lactique 10 % + HA,30 ml,14.89,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
13,Taches par frottement et pression (différenciateur KURLA),2,The Ordinary,Solution salicylique 2 %,30 ml,7.49,vérifié le 14/09/2026 — boticinal.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
13,Taches par frottement et pression (différenciateur KURLA),3,CeraVe,Pommade réparatrice intensive (post-friction),50 ml,8.67,vérifié le 14/09/2026 — pharmacie-boissiere.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
13,Taches par frottement et pression (différenciateur KURLA),4,Torriden,Balanceful Disques équilibrants centella,60 pcs,,à vérifier — fiche peau-test existante,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
13,Taches par frottement et pression (différenciateur KURLA),5,Yves Rocher,Gommage corps riche au karité,75 ml,5.99,"vérifié le 14/09/2026 — popsamshop.fr (9,99 € prix normal)",Grande distribution (rayon beauté)
14,Assombrissement immédiat du soleil (IPD) — savoir ; débouché : SPF,1,Beauty of Joseon,Relief Sun SPF50+,50 ml,12.25,vérifié le 14/09/2026 — koreanskincare.com,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
14,Assombrissement immédiat du soleil (IPD) — savoir ; débouché : SPF,2,Round Lab,Birch Juice Sun Cream SPF50+,50 ml,17.59,vérifié le 14/09/2026 — koreanskincare.com,"Kocosmetic/Bizdistribution (repéré 14/09 — K-beauty B2B FR, à recouper)"
14,Assombrissement immédiat du soleil (IPD) — savoir ; débouché : SPF,3,La Roche-Posay,Anthelios XL teinté SPF50+,50 ml,9.5,"vérifié le 14/09/2026 — idealo.fr dès 9,50 €",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
14,Assombrissement immédiat du soleil (IPD) — savoir ; débouché : SPF,4,Avène,Eau micellaire solaire teintée SPF50+ (ou Crème teintée),50 ml,12.25,"vérifié le 14/09/2026 — idealo.fr dès 12,25 € (crème teintée)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
14,Assombrissement immédiat du soleil (IPD) — savoir ; débouché : SPF,5,Eucerin,Sun Pigment Control teinté SPF50+,50 ml,12.59,constaté le 14/09/2026 (fiche) — src-euc-002,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
15,Lumière visible et hyperpigmentation — le produit attendu : SPF teinté à oxydes de fer,1,Beauty of Joseon,Tinted Mineral Dayscreen SPF30 (15 teintes),40 ml,15.0,"vérifié le 14/09/2026 — beautyofjoseon.com 20 $ (≈18 €) — site officiel, réf. 2026-09","EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
15,Lumière visible et hyperpigmentation — le produit attendu : SPF teinté à oxydes de fer,2,Beauty of Joseon,Daily Tinted Fluid Sunscreen SPF30,50 ml,16.39,"vérifié le 14/09/2026 — edenskinstore.com (20,49 € prix normal)","EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
15,Lumière visible et hyperpigmentation — le produit attendu : SPF teinté à oxydes de fer,3,La Roche-Posay,Anthelios XL teinté gel-crème SPF50+ (oxydes de fer),50 ml,9.5,"vérifié le 15/09/2026 — idealo.fr dès 9,50 €",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
15,Lumière visible et hyperpigmentation — le produit attendu : SPF teinté à oxydes de fer,4,La Roche-Posay,Anthelios UVair sérum solaire teinté SPF50+,50 ml,16.5,"vérifié le 14/09/2026 — idealo.fr dès 16,50 €",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
15,Lumière visible et hyperpigmentation — le produit attendu : SPF teinté à oxydes de fer,5,Eucerin,Sun Pigment Control teinté SPF50+,50 ml,12.59,constaté le 14/09/2026 (fiche) — src-euc-002,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
16,Taches hormonales (mélasma) — azélaïque/niacinamide + écran teinté,1,The Ordinary,Acide azélaïque suspension 10 %,30 ml,13.5,constaté le 14/09/2026 (fiche) — src-to-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
16,Taches hormonales (mélasma) — azélaïque/niacinamide + écran teinté,2,The Ordinary,Niacinamide 10 % + Zinc 1 %,30 ml,5.59,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
16,Taches hormonales (mélasma) — azélaïque/niacinamide + écran teinté,3,Eucerin,Sun Pigment Control teinté SPF50+,50 ml,12.59,constaté le 14/09/2026 (fiche) — src-euc-002,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
16,Taches hormonales (mélasma) — azélaïque/niacinamide + écran teinté,4,La Roche-Posay,Anthelios UVair teinté SPF50+,50 ml,16.5,"vérifié le 14/09/2026 — idealo.fr dès 16,50 €",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
16,Taches hormonales (mélasma) — azélaïque/niacinamide + écran teinté,5,The INKEY List,Sérum azélaïque 10 %,30 ml,18.4,constaté le 14/09/2026 (fiche) — src-inkey-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
17,"Assombrissement des plis (cou, aisselles) — gestes + exfoliation douce cadencée",1,Sanoflore,Déodorant Coton 24 H sans sels d'aluminium,50 ml,5.75,"vérifié le 14/09/2026 — paramarket.com (8,29 € boticinal.com)","Ankorstore (✔ vérifié, marques FR, min. 100 €/marque)"
17,"Assombrissement des plis (cou, aisselles) — gestes + exfoliation douce cadencée",2,The Ordinary,Acide lactique 10 % + HA (usage ciblé doux),30 ml,14.89,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
17,"Assombrissement des plis (cou, aisselles) — gestes + exfoliation douce cadencée",3,Yves Rocher,Gommage corps riche karité,75 ml,5.99,vérifié le 14/09/2026 — popsamshop.fr,Grande distribution (rayon beauté)
17,"Assombrissement des plis (cou, aisselles) — gestes + exfoliation douce cadencée",4,CeraVe,Lotion hydratante (zones de frottement),400 ml,10.95,vérifié le 14/09/2026 — primor.eu,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
17,"Assombrissement des plis (cou, aisselles) — gestes + exfoliation douce cadencée",5,Weleda,Déodorant solide 24 H Sensitive,50 g,11.5,constaté le 14/09/2026 (fiche) — src-weleda-001,"Ankorstore (✔ vérifié, marques FR, min. 100 €/marque)"
18,Cernes (sombres / fatigués),1,The INKEY List,Crème yeux au rétinol,15 ml,11.21,"vérifié le 14/09/2026 — lookfantastic.fr (14,95 € prix normal)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
18,Cernes (sombres / fatigués),2,The Ordinary,Caffeine Solution 5 % + EGCG,30 ml,8.85,"vérifié le 15/09/2026 — idealo.fr (redcare-pharmacie.fr 10,49 €)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
18,Cernes (sombres / fatigués),3,La Roche-Posay,Hyalu B5 Sérum Yeux (repère haut de gamme),15 ml,23.03,constaté le 14/09/2026 (fiche) — src-lrp-003,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
18,Cernes (sombres / fatigués),4,CeraVe,Crème yeux (céramides),15 ml,11.3,vérifié le 15/09/2026 — e-parapharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
18,Cernes (sombres / fatigués),5,Beauty of Joseon,Revive Eye Serum Ginseng + Retinal,30 ml,12.75,vérifié le 15/09/2026 — idealo.fr,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
19,Boutons occasionnels,1,The Ordinary,Solution salicylique 2 %,30 ml,7.49,vérifié le 14/09/2026 — boticinal.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
19,Boutons occasionnels,2,COSRX,Acne Pimple Master Patch,24 patchs,6.89,"vérifié le 14/09/2026 — lookfantastic.fr (3,63 € koreanskincare.com)","EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
19,Boutons occasionnels,3,The Ordinary,Acide azélaïque 10 % (actif ciblé),30 ml,13.5,constaté le 14/09/2026 (fiche) — src-to-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
19,Boutons occasionnels,4,CeraVe,Flacon moussant nettoyant (peaux mixtes),236 ml,10.9,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
19,Boutons occasionnels,5,COSRX,BHA Blackhead Power Liquid,100 ml,18.99,constaté le 14/09/2026 (fiche) — src-cosrx-001,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
20,Imperfections récurrentes,1,The Ordinary,Solution salicylique 2 %,30 ml,7.49,vérifié le 14/09/2026 — boticinal.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
20,Imperfections récurrentes,2,COSRX,BHA Blackhead Power Liquid,100 ml,18.99,constaté le 14/09/2026 (fiche) — src-cosrx-001,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
20,Imperfections récurrentes,3,The Ordinary,Acide azélaïque 10 %,30 ml,13.5,constaté le 14/09/2026 (fiche) — src-to-001,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
20,Imperfections récurrentes,4,Isntree,Chestnut BHA 2 % Clear Liquid,100 ml,21.95,constaté le 14/09/2026 (fiche) — src-isntree-001,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
20,Imperfections récurrentes,5,La Roche-Posay,Effaclar Gel Nettoyant Purifiant,200 ml,10.67,"vérifié le 15/09/2026 — pharmazon.fr (redcare-pharmacie.fr 7,75 € en promo)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
21,"Points noirs (2 % salicylique, zéro extraction)",1,The Ordinary,Solution salicylique 2 %,30 ml,7.49,vérifié le 14/09/2026 — boticinal.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
21,"Points noirs (2 % salicylique, zéro extraction)",2,COSRX,BHA Blackhead Power Liquid,100 ml,18.99,constaté le 14/09/2026 (fiche) — src-cosrx-001,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
21,"Points noirs (2 % salicylique, zéro extraction)",3,Isntree,Chestnut BHA 2 % Clear Liquid,100 ml,21.95,constaté le 14/09/2026 (fiche) — src-isntree-001,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
21,"Points noirs (2 % salicylique, zéro extraction)",4,CeraVe,Gel-crème matifiant (sébum/pores),53 ml,13.63,vérifié le 14/09/2026 — amazon.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
21,"Points noirs (2 % salicylique, zéro extraction)",5,CeraVe,"Nettoyant pores (salicylique 0,5 %)",236 ml,8.8,vérifié le 15/09/2026 — easypara.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
22,Picking (s'arracher les boutons) — patch occlusif = protection physique,1,COSRX,Acne Pimple Master Patch,24 patchs,6.89,"vérifié le 14/09/2026 — lookfantastic.fr (3,63 € koreanskincare.com)","EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
22,Picking (s'arracher les boutons) — patch occlusif = protection physique,2,COSRX,Master Patch Intensive,90 patchs,11.39,"vérifié le 14/09/2026 — lookfantastic.fr (9,11 € promo)","EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
22,Picking (s'arracher les boutons) — patch occlusif = protection physique,3,Mizon,All In One Acne Pimple Patch,lot,5.99,"vérifié le 15/09/2026 — koreanqueens.com (Good Bye Blemish Clear Patch, 44 patchs)","Kocosmetic/Bizdistribution (repéré 14/09 — K-beauty B2B FR, à recouper)"
22,Picking (s'arracher les boutons) — patch occlusif = protection physique,4,CeraVe,Pommade réparatrice intensive (occlusif doux),50 ml,8.67,vérifié le 14/09/2026 — pharmacie-boissiere.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
22,Picking (s'arracher les boutons) — patch occlusif = protection physique,5,Vaseline,Original (occlusif basique),100 ml,2.48,vérifié le 15/09/2026 — e.leclerc (parapharmacie),Grande distribution (rayon beauté)
23,"Peau brillante, sébum en excès",1,The Ordinary,Niacinamide 10 % + Zinc 1 %,30 ml,5.59,vérifié le 14/09/2026 — redcare-pharmacie.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
23,"Peau brillante, sébum en excès",2,The Ordinary,Solution salicylique 2 %,30 ml,7.49,vérifié le 14/09/2026 — boticinal.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
23,"Peau brillante, sébum en excès",3,CeraVe,Gel-crème matifiant (peaux mixtes-grasses),53 ml,13.63,vérifié le 14/09/2026 — amazon.fr,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
23,"Peau brillante, sébum en excès",4,CeraVe,Flacon moussant nettoyant,236 ml,10.9,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
23,"Peau brillante, sébum en excès",5,La Roche-Posay,Effaclar Mat (fluide matifiant),40 ml,12.99,"vérifié le 15/09/2026 — parapromos.com (12,80 € sansglutenstore.com)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
24,Hydrater en profondeur (règle des minutes),1,Isntree,Sérum hydratant HA (14 poids moléculaires),50 ml,18.9,vérifié le 14/09/2026 — jejuskin.fr,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
24,Hydrater en profondeur (règle des minutes),2,CeraVe,Lotion hydratante,400 ml,10.95,vérifié le 14/09/2026 — primor.eu,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
24,Hydrater en profondeur (règle des minutes),3,CeraVe,Crème lavante hydratante éco-recharge (geste des 3 min),473 ml,8.72,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
24,Hydrater en profondeur (règle des minutes),4,Torriden,Dive-In Sérum HA,50 ml,23.0,vérifié le 14/09/2026 — cosmeterie.ie,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
