besoin;produit;marque;format;prix_public_eur;source_prix;reference_marche_haute;canal_b2b_moins_cher;conditions_b2b_constatees;note
eclat;Glow Serum Propolis + Niacinamide;Beauty of Joseon;30 ml;11.93;idealo.fr (14/09/2026);LRP Vit C12 42,10 €;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écritEOLYS Beauté (FR) — page revendeur, prix pro derrière connexion;;3,5× moins cher que la réf dermo.
eclat;Glycolic Acid 7% Exfoliating Toner;The Ordinary;240 ml;13.9;boots.com £11,90 (14/09/2026) — prix UK, non EUR;LRP Vit C12 42,10 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;Prix FR à confirmer.
eclat;Advanced Snail 96 Mucin Power Essence;COSRX;100 ml;16.99;holyskin.fr (14/09/2026);LRP Vit C12 42,10 €;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écrit;;« révèle l'éclat » (revendeur).
eclat;Tonique Éclat au Lait de Riz;Beauty of Joseon;150 ml;;prix pro masqué — page publique EOLYS (14/09/2026);LRP Vit C12 42,10 €;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écritEOLYS Beauté (FR) — page revendeur, prix pro derrière connexion;;Prix RFQ.
eclat;Multi-Peptide + HA Serum;The Ordinary;30 ml;21.0;theordinary.com (snippet indexé, 14/09/2026);LRP Vit C12 42,10 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;2× moins cher que la réf.
taches;Azelaic Acid Suspension 10%;The Ordinary;30 ml;13.5;theordinary.com FR (14/09/2026);Eucerin Pigment 12,59 € (SPF teinté);"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
taches;Sun Pigment Control Gel-Crème Teinté SPF50+;Eucerin;50 ml;12.59;parapharmacie FR (14/09/2026);;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;Année 1 : SPF non ouvert — réf prix.
taches;Glow Serum Propolis + Niacinamide;Beauty of Joseon;30 ml;11.93;idealo.fr (14/09/2026);;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écritEOLYS Beauté (FR) — page revendeur, prix pro derrière connexion;;Unifie le teint (revendeur).
taches;Super Solutions Sérum Azélaïque 10%;The INKEY List;30 ml;18.4;LookFantastic FR (14/09/2026);;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
taches;Pure Vitamin C12 Sérum;La Roche-Posay;30 ml;42.1;pharmacie FR (14/09/2026);;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;RÉFÉRENT HAUT — à battre, pas à vendre en priorité.
cicatrices;Acne Pimple Master Patch;COSRX;24 patchs;5.79;revendeur K-beauty FR (14/09/2026);LRP Cicaplast 13,39 €;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écrit;;Occlusif post-bouton.
cicatrices;Azelaic Acid Suspension 10%;The Ordinary;30 ml;13.5;theordinary.com FR (14/09/2026);LRP Cicaplast 13,39 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;Marques post-acné.
cicatrices;Cicaplast Baume B5+;La Roche-Posay;100 ml;13.39;parapharmacie FR (14/09/2026);;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;Réf dermo basse.
cicatrices;Advanced Snail 96 Mucin Power Essence;COSRX;100 ml;16.99;holyskin.fr (14/09/2026);LRP Cicaplast 13,39 €;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écrit;;
cicatrices;Multi-Peptide + HA Serum;The Ordinary;30 ml;21.0;theordinary.com (snippet indexé, 14/09/2026);LRP Cicaplast 13,39 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
contour_yeux;Caffeine Solution 5% + EGCG;The Ordinary;30 ml;12.32;"sweetcare.com EUR (14/09/2026) ; boots £8,40";LRP Hyalu B5 Yeux 23,03 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
contour_yeux;Hyalu B5 Sérum Yeux;La Roche-Posay;15 ml;23.03;pharmacie FR (14/09/2026);;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;RÉFÉRENT HAUT.
contour_yeux;Multi-Peptide + HA Serum;The Ordinary;30 ml;21.0;theordinary.com (snippet indexé, 14/09/2026);LRP 23,03 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
contour_yeux;(à compléter — RFQ);—;;;prix non constaté cette session;;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écritEOLYS Beauté (FR) — page revendeur, prix pro derrière connexion;;Ne pas inventer : slot ouvert, prix à obtenir.
contour_yeux;(à compléter — RFQ);—;;;prix non constaté cette session;;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écritEOLYS Beauté (FR) — page revendeur, prix pro derrière connexion;;Slot ouvert.
anti_age;Retinol 1% in Squalane;The Ordinary;30 ml;10.0;theordinary.com (snippet indexé, 14/09/2026);LRP Retinol B3 41,30 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;4× moins cher que la réf.
anti_age;NMF + PhytoCeramides;The Ordinary;30 ml;11.6;theordinary.com (snippet indexé, 14/09/2026);LRP Retinol B3 41,30 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
anti_age;Glycolic Acid 7% Exfoliating Toner;The Ordinary;240 ml;13.9;boots.com £11,90 (14/09/2026) — prix UK;LRP Retinol B3 41,30 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;Prix FR à confirmer.
anti_age;Multi-Peptide + HA Serum;The Ordinary;30 ml;21.0;theordinary.com (snippet indexé, 14/09/2026);LRP Retinol B3 41,30 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
anti_age;Retinol B3 Sérum;La Roche-Posay;30 ml;41.3;pharmacie FR (14/09/2026);;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;RÉFÉRENT HAUT.
levres;Solaire Stick Lèvres SPF50+;Avène;3 g;6.59;parapharmacie FR (14/09/2026);LRP stick 9,90 €;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;
levres;Anthelios Stick Lèvres SPF50+;La Roche-Posay;4,7 g;9.9;parapharmacie FR (14/09/2026);;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;
levres;(à compléter — RFQ);—;;;prix non constaté cette session;;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026)Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écrit;;Slot ouvert : baume lèvres karité FR à sourcer (Cosmo Naturel ? prix non constaté).
levres;(à compléter — RFQ);—;;;prix non constaté cette session;;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;Slot ouvert.
levres;(à compléter — RFQ);—;;;prix non constaté cette session;;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;Slot ouvert.
corps;IDC Institute (gamme corps/bain);IDC Institute;unité;1.9;prix publics 0,98–4,40 € constatés (14/09/2026);Eucerin UreaRepair 16,99 €;"Aquarius Cosmetic SLU (ES, marque IDC Institute) — info@aqc.es, +34 938 861 366 ; prix publics 0,98–4,40 €";;"Prix médian de la fourchette ; produit exact à choisir au catalogue Aquarius."
corps;Lait Corps au Karité Bio;Cosmo Naturel;500 ml;9.67;revendeur FR bio (14/09/2026);Eucerin UreaRepair 16,99 €;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;
corps;Lait Corps Nourrissant Argousier;Weleda;200 ml;15.0;revendeur FR (14/09/2026);Eucerin UreaRepair 16,99 €;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;
corps;UreaRepair Plus Émollient 10% Urée;Eucerin;400 ml;16.99;parapharmacie FR (14/09/2026);;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;
corps;Natural Moisturizing Factors + HA;The Ordinary;30 ml;7.5;theordinary.com (snippet indexé, 14/09/2026);Eucerin 16,99 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;Petit format visage/corps.
spf;Sun Pigment Control Gel-Crème Teinté SPF50+;Eucerin;50 ml;12.59;parapharmacie FR (14/09/2026);LRP Anthelios 22,90 €;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;ANNÉE 1 FERMÉE — réf prix seulement.
spf;Stick Invisible SPF50;Isdin;stick;14.99;parapharmacie FR (14/09/2026);LRP Anthelios 22,90 €;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;ANNÉE 1 FERMÉE.
spf;SUN'OYA Fluide Solaire SPF50+;IN'OYA;50 ml;18.9;revendeur FR (14/09/2026);LRP Anthelios 22,90 €;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;ANNÉE 1 FERMÉE — SPF peaux noires FR.
spf;Anthelios Fluide Invisible SPF50+;La Roche-Posay;40 ml;22.9;pharmacie FR (14/09/2026);;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;RÉFÉRENT HAUT.
spf;Eryfotona Ageless Teinté SPF50;Isdin;100 ml;91.19;parapharmacie FR (14/09/2026);;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;RÉFÉRENT TRÈS HAUT — écart type.
barriere;Natural Moisturizing Factors + HA;The Ordinary;30 ml;7.5;theordinary.com (snippet indexé, 14/09/2026);LRP Cicaplast 13,39 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
barriere;Lait Corps au Karité Bio;Cosmo Naturel;500 ml;9.67;revendeur FR bio (14/09/2026);LRP Cicaplast 13,39 €;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;
barriere;NMF + PhytoCeramides;The Ordinary;30 ml;11.6;theordinary.com (snippet indexé, 14/09/2026);LRP Cicaplast 13,39 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;Céramides = barrière.
barriere;Cicaplast Baume B5+;La Roche-Posay;100 ml;13.39;parapharmacie FR (14/09/2026);;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;
barriere;Advanced Snail 96 Mucin Power Essence;COSRX;100 ml;16.99;holyskin.fr (14/09/2026);;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écrit;;Renforce la barrière (revendeur).
par_ingredient;Hyaluronic Acid 2% + B5 (HA);The Ordinary;30 ml;10.12;amazon.fr (14/09/2026);;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
par_ingredient;Retinol 1% in Squalane (rétinol);The Ordinary;30 ml;10.0;theordinary.com (snippet indexé, 14/09/2026);;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
par_ingredient;Niacinamide 10% + Zinc 1%;The Ordinary;30 ml;13.5;theordinary.com FR (14/09/2026);;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
par_ingredient;Azelaic Acid Suspension 10%;The Ordinary;30 ml;13.5;theordinary.com FR (14/09/2026);;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
par_ingredient;BHA Blackhead Power Liquid (BHA);COSRX;100 ml;18.99;revendeur K-beauty FR (14/09/2026);;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écrit;;
