palier,nom,pays,type,gammes_couvertes,modele,conformite_ue,moq_declare,contact,verification,source
3-Monde,JunYi Beauty,CN,Fabricant accessoires,"Brosses, peignes",Import direct,PAS de CPNP (non cosmetique) ; CE si electrique,a demander,Dongguan - depuis 1999,"VERIFIE : BSCI, FSC, GRS ; clients Conair/BaByliss/Denman/ghd",tours precedents
3-Monde,Vickky,CN,Fabricant accessoires,"Peignes, brosses",Import direct,PAS de CPNP ; CE si electrique,"300+ peignes, 1000-3000/style",vickkybeauty.com - Huzhou,"VERIFIE : 2M+ unites/an, echantillons 5-10j",tours precedents
3-Monde,Taihu Snow Silk,CN,Fabricant textile,Bonnets/taies satin,Import direct,PAS de CPNP ; OEKO-TEX 100 a exiger,a demander,-,"VERIFIE : soie murier 6A, OEKO-TEX 100, echantillons 5-7j",tours precedents
3-Monde,Sino-Silk,CN,Fabricant textile,Textile satin,Import direct,PAS de CPNP ; OEKO-TEX 100 a exiger,a demander,-,"VERIFIE : OEKO-TEX SH015 230473, ISO 9001, Sedex",tours precedents
3-Monde,Taiki Europe,FR (relais CN),Fabricant accessoires,Accessoires,Import direct,PAS de CPNP,5000 pieces/reference = HORS PORTEE,+33 1 41 22 05 20,VERIFIE - a ecarter en annee 1,tours precedents
3-Monde,SENIMPEX,FR,Importateur matieres premieres,"Huiies vegetales africaines, karite",Import matiere premiere,ATTENTION : import matiere premiere hors UE -> KURLA importateur,a demander,Montivilliers - creee 2020,Europages,europages.fr
3-Monde,AFRICROPS! GmbH,DE,Importateur matieres premieres,Matieres agricoles africaines,Stock UE,Distributeur si deja importe,a demander,Berlin,Europages,europages.fr
3-Monde,Afro Wholesale,GB,Grossiste B2B,Produits afro,ATTENTION POST-BREXIT : pays tiers,IMPORT = KURLA PERSONNE RESPONSABLE (art.4.5),a demander,Londres,CLASSE PALIER 3 MALGRE GEOGRAPHIE EUROPEENNE,tours precedents
3-Monde,Ethica Fashion Store,GB,Grossiste B2B,Produits afro,ATTENTION POST-BREXIT : pays tiers,IMPORT = KURLA PERSONNE RESPONSABLE (art.4.5),a demander,Londres,CLASSE PALIER 3,europages.fr
3-Monde,Eapol Wholesale,GB,Grossiste B2B,Produits afro,ATTENTION POST-BREXIT : pays tiers,IMPORT = KURLA PERSONNE RESPONSABLE (art.4.5),a demander,"Hockley, Birmingham",CLASSE PALIER 3,europages.fr
3-Monde,A&F Supplies,GB,Grossiste B2B,Produits afro,ATTENTION POST-BREXIT : pays tiers,IMPORT = KURLA PERSONNE RESPONSABLE (art.4.5),a demander,Preston,CLASSE PALIER 3,europages.fr
3-Monde,Grow Afro Ltd,GB,Grossiste B2B,Produits afro,ATTENTION POST-BREXIT : pays tiers,IMPORT = KURLA PERSONNE RESPONSABLE (art.4.5),a demander,Coventry,CLASSE PALIER 3,europages.fr
3-Monde,Headlines,GB,Grossiste B2B,Produits afro,ATTENTION POST-BREXIT : pays tiers,IMPORT = KURLA PERSONNE RESPONSABLE (art.4.5),a demander,Londres,CLASSE PALIER 3,europages.fr
