need_code,need_label,target_reference,product_family_or_component,candidate_supplier,channel,priority,fr_delivery_status,cost_and_margin_status,stock_moq_status,integration_or_fulfilment_status,documents_required_before_c1,claims_image_and_brand_checks,verification_status,next_action
spf,SPF sans trace blanche,peau-ess-003,SPF 50 invisible fluide,BigBuy,dropship,P1,"France delivery/SLA to confirm per SKU","No validated landed cost or margin","Stock and expiry to confirm","Order routing, returns and recall to test","INCI; RP UE; CPSR/PIF/CPNP; GMP; UVA/SPF tests; lot/PAO","Whitecast IV/V/VI mandatory; no generic invisible claim","blocked_pending_evidence","Request three SPF files and sample test protocol"
spf,SPF sans trace blanche,peau-ess-003,SPF K-beauty,MiiN Cosmetics FR,affiliate,P1,"France merchant profile; current availability to confirm","Commission/EPC to confirm; no KURLA margin","Merchant stock; no KURLA stock","External checkout only","Product feed; UVA/SPF evidence where published; creative rights","Affiliate content must not promise no whitecast without evidence","affiliate_candidate","Use as external test only until SPF evidence is archived"
anti_age,Rides / fermeté,target-anti-age-01,rétinol/alternative,Qogita,wholesale_to_3pl,P2,"France freight per selected supplier to confirm","Price, fees and margin unknown","MOQ, stock and expiry to confirm","Wholesale then 3PL; lot control required","INCI; RP UE; CPSR/PIF/CPNP; GMP; lot/PAO; warnings","Usage/frequency; pregnancy warning where relevant; image rights","lead_to_contact","Request retinol dossier and stability/expiry policy"
anti_age,Rides / fermeté,target-anti-age-01,rétinol/peptides,LOOKFANTASTIC Europe,affiliate,P2,"France coverage via Awin to confirm","Commission/EPC to confirm; no KURLA margin","Merchant stock; no KURLA stock","External checkout only","Feed; INCI; claims; creative rights; affiliate disclosure","No treatment claims; safety context in content","affiliate_candidate","Apply and identify products with complete ingredient data"
contour_yeux,Contour des yeux,target-eye-01,contour hydratant,Qudo Beauty,wholesale_to_3pl,P2,"EU warehouse announced; France freight to quote","Price and margin unknown","MOQ/stock/expiry to verify","Wholesale; future 3PL inbound","INCI; RP UE; CPSR/PIF/CPNP; GMP; lot/PAO","Eye-area tolerance; claims; image rights","lead_to_contact","Request 3 eye-area dossiers and samples"
contour_yeux,Contour des yeux,target-eye-01,contour yeux,LOOKFANTASTIC Europe,affiliate,P2,"France coverage via Awin to confirm","Commission/EPC to confirm; no KURLA margin","Merchant stock; no KURLA stock","External checkout only","Feed; INCI; claims; creative rights; affiliate disclosure","No medical/guaranteed result claims","affiliate_candidate","Map external options for content"
levres,Lèvres sèches,peau-ess-013,baume lèvres céramides,BTSWholesaler,dropship,P2,"EU dropshipping announced; France SLA to confirm","Wholesale/dropship price and margin unknown","Own stock announced; SKU/expiry to confirm","Neutral packaging and returns to test","INCI; RP UE; CPSR/PIF/CPNP; GMP; lot/PAO; claims","Image rights; no KURLA stock claim","lead_to_contact","Request baume dossiers and neutral fulfilment terms"
levres,Lèvres sèches,peau-ess-013,baume lèvres,YesStyle,affiliate,P2,"France product delivery to confirm","Commission/EPC to confirm; no KURLA margin","Merchant stock; no KURLA stock","External checkout only","Feed; INCI; claims; creative rights; affiliate disclosure","Affiliate-only recommendation; no KURLA bundle","affiliate_candidate","Use until product dossier and supply route exist"
corps,Peau du corps,target-body-01,lotion/huile corps,BigBuy,dropship,P2,"France delivery/SLA to confirm per SKU","Landed cost and margin unknown","Stock and expiry to confirm","Direct fulfilment and returns to test","INCI; RP UE; CPSR/PIF/CPNP; GMP; lot/PAO","Body claims; image rights; packaging","lead_to_contact","Request body-care shortlist"
corps,Peau du corps,target-body-01,cosmétique naturelle corps,French Lady,wholesale_or_dropship,P2,"France/EU coverage to confirm","B2B/dropship price and margin unknown","MOQ and stock to verify","Dropship/3PL compatibility to confirm","INCI; RP UE; CPSR/PIF/CPNP; GMP; organic claims; lot/PAO","Organic claims; image rights; brand authorization","lead_to_contact","Request brand list and France logistics"
cicatrices,Cicatrices post-acné,target-scars-01,soin texture/post-acné,In'oya,wholesale_or_dropship,P2,"France/EU route to confirm","B2B price and margin unknown","Stock/MOQ to verify","Dropship or wholesale to 3PL to confirm","INCI; RP UE; CPSR/PIF/CPNP; GMP; claims substantiation; lot/PAO","No scar-treatment guarantee; no medical claim; image rights","blocked_pending_evidence","Request permitted cosmetic claims and substantiation"
cicatrices,Cicatrices post-acné,target-scars-01,soin texture/post-acné,YesStyle,affiliate,P2,"France delivery/product availability to confirm","Commission/EPC to confirm; no KURLA margin","Merchant stock; no KURLA stock","External checkout only","Feed; INCI; claims; creative rights; affiliate disclosure","Content-only and non-medical wording","affiliate_candidate","Use only as a content test"
barriere,Barrière cutanée,peau-ess-002,crème céramides + squalane,Qudo Beauty,wholesale_to_3pl,P1,"EU warehouse announced; France freight to quote","Price/margin unknown","Low/no MOQ signal; stock/expiry to verify","Wholesale then 3PL after demand","CPNP; INCI; RP UE; CPSR/PIF; GMP; lot/PAO","Céramides/squalane verified in INCI; image rights","lead_to_contact","Request dossier for barrier cream"
barriere,Barrière cutanée,peau-ess-002,crème céramides + squalane,BigBuy,dropship,P1,"France delivery/SLA to confirm","No validated landed cost or margin","Stock and expiry to confirm","Direct fulfilment integration to test","INCI; RP UE; CPSR/PIF/CPNP; GMP; lot/PAO","Ingredient claims and texture; image rights","lead_to_contact","Request matching dropship SKU and sample"
par_ingredient,Par ingrédient,peau-ess-006 + peau-ess-011,niacinamide/HA/AHA-BHA,Qudo Beauty,wholesale_to_3pl,P1,"EU warehouse announced; France freight to quote","Price, freight and margin unknown","Stock/MOQ/expiry to verify","Wholesale; future 3PL inbound","INCI with concentration where claim depends on it; RP UE; CPSR/PIF/CPNP; GMP; lot/PAO","No concentration invention; claims and image rights","lead_to_contact","Request active-by-active catalogue and evidence"
par_ingredient,Par ingrédient,peau-ess-006 + peau-ess-011,niacinamide/HA/AHA-BHA,BigBuy,dropship,P1,"France SKU delivery to confirm","Landed cost, fees and margin unknown","EU stock announced; SKU stock to verify","Order routing, stock feed and returns to test","INCI; RP UE; CPSR/PIF/CPNP; GMP; lot/PAO","Only publish actives present in final INCI","lead_to_contact","Request active filter export and full documents"
par_ingredient,Par ingrédient,peau-ess-006 + peau-ess-011,actifs K-beauty,MiiN Cosmetics FR,affiliate,P1,"France merchant profile; product availability to confirm","Commission/EPC to confirm; no KURLA margin","Merchant stock; no KURLA stock","External checkout and feed","Feed; final INCI; creative rights; affiliate disclosure","External recommendation only","affiliate_candidate","Create ingredient-led content tests"
